time,hand_label,x,y,z
1751978064.503,right,-559.316,404.667,234.344
1751978064.565,left,-270.401,437.229,294.039
1751978064.617,right,-553.750,407.155,238.211
1751978064.662,right,-551.453,408.283,241.152
1751978064.713,right,-552.536,407.253,237.209
1751978064.758,left,-280.490,411.031,259.770
1751978064.799,left,-293.261,418.085,250.153
1751978064.858,left,-297.575,415.932,244.265
1751978064.915,right,-549.432,409.516,243.082
1751978064.973,left,-269.481,427.457,243.616
1751978065.012,right,-553.411,411.243,227.892
1751978065.057,left,-293.014,409.658,234.722
1751978065.094,right,-551.650,411.113,228.915
1751978065.130,right,-552.705,411.574,224.865
1751978065.178,right,-552.969,411.689,223.852
1751978065.235,left,-303.207,414.970,215.221
1751978065.294,left,-295.536,447.580,227.956
1751978065.339,left,-280.840,432.045,232.182
1751978065.373,left,-277.797,430.797,230.287
1751978065.406,left,-282.150,437.111,227.797
1751978065.454,left,-295.671,410.218,216.617
1751978065.507,left,-298.678,410.472,214.573
1751978065.556,left,-297.173,410.345,215.595
1751978065.616,left,-291.076,436.125,224.802
1751978065.678,left,-292.541,437.787,223.670
1751978065.732,left,-292.600,435.997,225.804
1751978065.782,left,-294.080,436.154,224.780
1751978065.818,left,-297.002,439.628,221.502
1751978065.853,right,-558.865,417.556,212.361
1751978065.900,right,-557.783,418.593,216.304
1751978065.936,right,-558.316,418.836,214.277
1751978065.980,right,-558.301,420.357,214.168
1751978066.018,right,-560.798,420.140,216.172
1751978066.057,right,-559.308,420.296,227.200
1751978066.116,right,-562.731,425.164,235.849
1751978066.160,left,-295.401,419.199,286.153
1751978066.248,left,-281.836,488.979,314.290
