time,x,y,z
1751976096.174,-398.117,435.490,255.039
1751976096.245,-398.130,435.470,255.015
1751976096.278,-398.121,435.475,255.040
1751976096.327,-398.115,435.475,255.020
1751976096.387,-398.117,435.475,255.027
1751976096.439,-398.122,435.468,255.040
1751976096.490,-398.072,435.496,255.023
1751976096.546,-398.123,435.483,255.034
1751976096.603,-398.111,435.479,255.010
1751976096.666,-398.112,435.468,255.027
1751976096.716,-398.116,435.478,255.024
1751976096.752,-398.122,435.479,255.025
1751976096.801,-398.123,435.479,255.021
1751976096.853,-398.107,435.487,255.027
1751976096.903,-398.085,435.492,255.001
1751976096.942,-398.129,435.470,255.028
1751976096.986,-398.101,435.509,255.032
1751976097.037,-398.114,435.481,255.033
1751976097.095,-398.109,435.492,255.029
1751976097.156,-398.100,435.488,255.024
1751976097.217,-398.117,435.494,255.028
1751976097.254,-398.105,435.487,255.023
1751976097.291,-398.096,435.493,255.051
1751976097.348,-398.103,435.483,255.022
1751976097.393,-398.129,435.475,255.047
1751976097.460,-398.105,435.480,255.042
1751976097.512,-398.108,435.484,255.026
1751976097.543,-398.126,435.474,255.024
1751976097.582,-398.112,435.468,255.043
1751976097.621,-398.139,435.464,254.998
1751976097.671,-398.137,435.470,255.018
1751976097.719,-398.097,435.497,255.005
1751976097.778,-398.096,435.499,255.050
1751976097.832,-398.126,435.470,255.050
1751976097.895,-398.117,435.478,255.054
1751976097.964,-398.099,435.472,255.019
1751976098.024,-398.097,435.482,255.025
1751976098.073,-398.111,435.496,255.048
1751976098.115,-398.112,435.479,255.016
1751976098.167,-398.110,435.485,255.015
1751976098.217,-398.107,435.489,255.027
1751976098.275,-398.098,435.487,255.052
1751976098.339,-398.110,435.484,255.040
1751976098.398,-398.121,435.478,255.032
1751976098.449,-398.109,435.499,255.032
1751976098.485,-398.107,435.483,255.000
1751976098.531,-398.120,435.486,255.043
1751976098.573,-398.110,435.495,255.051
1751976098.614,-398.118,435.489,255.038
1751976098.668,-398.107,435.479,255.015
1751976098.713,-398.127,435.480,255.032
1751976098.766,-398.145,435.476,255.033
1751976098.794,-398.125,435.480,255.021
1751976098.855,-398.114,435.489,255.034
1751976098.907,-398.119,435.484,255.023
1751976098.946,-398.101,435.498,255.041
1751976098.985,-398.086,435.486,255.024
1751976099.028,-398.117,435.475,255.057
1751976099.075,-398.126,435.473,255.006
1751976099.116,-398.135,435.466,255.019
1751976099.156,-398.105,435.482,255.042
1751976099.201,-398.075,435.492,255.011
1751976099.239,-398.123,435.480,255.045
1751976099.294,-398.122,435.478,255.052
1751976099.348,-398.139,435.464,255.042
1751976099.392,-398.097,435.493,255.054
1751976099.433,-398.116,435.484,255.048
1751976099.485,-398.116,435.490,255.050
1751976099.545,-398.150,435.459,255.044
1751976099.597,-398.127,435.466,255.035
1751976099.655,-398.102,435.481,255.037
1751976099.712,-398.128,435.479,255.026
1751976099.755,-398.116,435.467,255.026
1751976099.793,-398.103,435.484,255.038
1751976099.827,-398.121,435.470,255.049
