time,x,y,z
1751978510.534,-398.116,435.488,255.042
1751978511.150,-398.139,435.470,255.073
1751978511.169,-398.100,435.477,255.051
1751978511.189,-398.108,435.494,255.041
1751978511.225,-398.104,435.488,255.038
1751978511.269,-398.121,435.468,255.029
1751978511.291,-398.094,435.489,255.067
1751978511.325,-398.119,435.478,255.029
1751978511.365,-398.113,435.485,255.071
1751978511.396,-398.134,435.464,255.056
1751978511.431,-398.121,435.474,255.040
1751978511.465,-398.133,435.469,255.070
1751978511.498,-398.087,435.477,255.041
1751978511.538,-398.094,435.493,255.032
1751978511.572,-398.123,435.467,255.054
1751978511.603,-398.102,435.486,255.056
1751978511.625,-398.115,435.466,255.030
1751978511.660,-398.115,435.483,255.020
1751978511.689,-398.130,435.469,255.049
1751978511.728,-398.117,435.479,255.039
1751978511.764,-398.095,435.481,255.031
1751978511.794,-398.132,435.469,255.041
1751978511.826,-398.118,435.468,255.048
1751978511.875,-398.142,435.471,255.038
1751978511.902,-398.062,435.500,255.030
1751978511.936,-398.083,435.493,255.011
1751978511.960,-398.147,435.476,255.072
1751978512.012,-398.102,435.488,255.062
1751978512.043,-398.118,435.478,255.048
1751978512.078,-398.111,435.490,255.047
1751978512.120,-398.097,435.482,254.997
1751978512.152,-398.119,435.470,255.045
1751978512.191,-398.113,435.477,255.028
1751978512.223,-398.104,435.488,255.062
1751978512.255,-398.108,435.488,255.042
1751978512.278,-398.131,435.474,255.045
1751978512.296,-398.098,435.486,255.050
1751978512.333,-398.131,435.470,255.012
1751978512.370,-398.122,435.480,255.043
1751978512.405,-398.101,435.493,255.074
1751978512.432,-398.101,435.492,255.028
1751978512.475,-398.105,435.483,255.050
1751978512.514,-398.087,435.492,255.046
1751978512.548,-398.114,435.494,255.049
1751978512.578,-398.127,435.481,255.042
1751978512.602,-398.106,435.488,255.068
1751978512.634,-398.113,435.489,255.033
1751978512.670,-398.111,435.473,255.044
1751978512.708,-398.111,435.477,255.045
1751978512.742,-398.126,435.475,255.042
1751978512.780,-398.095,435.477,255.041
1751978512.818,-398.090,435.486,255.026
1751978512.851,-398.102,435.477,255.038
1751978512.879,-398.124,435.473,255.061
1751978512.914,-398.129,435.475,255.057
1751978512.954,-398.108,435.488,255.034
1751978512.995,-398.120,435.479,255.076
1751978513.020,-398.111,435.473,255.004
1751978513.041,-398.116,435.478,255.045
1751978513.064,-398.097,435.482,255.025
1751978513.092,-398.124,435.470,255.021
1751978513.144,-398.124,435.470,255.045
1751978513.175,-398.109,435.478,255.056
1751978513.203,-398.109,435.478,255.042
1751978513.230,-398.114,435.477,255.045
1751978513.277,-398.120,435.468,255.002
1751978513.312,-398.085,435.497,255.018
1751978513.330,-398.106,435.488,255.032
1751978513.373,-398.117,435.474,255.058
1751978513.404,-398.103,435.484,255.057
1751978513.444,-398.145,435.481,255.039
1751978513.471,-398.120,435.480,255.065
1751978513.511,-398.089,435.497,255.029
1751978513.537,-398.093,435.502,255.029
1751978513.558,-398.102,435.489,255.030
1751978513.605,-398.108,435.493,255.053
1751978513.644,-398.102,435.478,255.042
1751978513.679,-398.123,435.475,255.044
1751978513.709,-398.140,435.465,255.035
1751978513.741,-398.114,435.490,255.067
1751978513.761,-398.098,435.487,255.037
1751978513.793,-398.126,435.480,255.069
1751978513.828,-398.093,435.488,255.043
1751978513.877,-398.128,435.468,255.041
1751978513.911,-398.095,435.492,255.022
1751978513.936,-398.119,435.469,255.020
1751978513.975,-398.112,435.484,255.034
1751978514.005,-398.129,435.464,255.031
1751978514.035,-398.109,435.478,255.037
1751978514.069,-398.144,435.472,255.058
1751978514.099,-398.124,435.470,255.028
1751978514.138,-398.124,435.489,255.032
1751978514.170,-398.096,435.488,255.032
1751978514.209,-398.108,435.484,255.062
1751978514.237,-398.114,435.479,255.038
1751978514.276,-398.118,435.473,255.063
1751978514.305,-398.107,435.483,255.050
1751978514.341,-398.105,435.488,255.033
1751978514.376,-398.129,435.468,255.080
1751978514.398,-398.123,435.470,255.063
1751978514.438,-398.123,435.479,255.064
1751978514.473,-398.109,435.467,255.053
1751978514.513,-398.122,435.484,255.049
1751978514.545,-398.103,435.484,255.062
1751978514.566,-398.095,435.493,255.033
1751978514.600,-398.140,435.476,255.044
1751978514.636,-398.109,435.479,255.058
1751978514.670,-398.098,435.487,255.032
1751978514.691,-398.088,435.491,255.031
1751978514.740,-398.092,435.492,255.037
1751978514.779,-398.122,435.479,255.027
1751978514.804,-398.110,435.479,255.018
1751978514.836,-398.108,435.485,255.051
1751978514.873,-398.092,435.498,255.028
1751978514.905,-398.117,435.478,255.047
1751978514.933,-398.088,435.487,255.025
1751978514.977,-398.100,435.466,255.034
1751978515.011,-398.128,435.485,255.060
1751978515.045,-398.108,435.493,255.056
1751978515.085,-398.078,435.497,255.047
1751978515.121,-398.130,435.476,255.067
1751978515.159,-398.079,435.492,255.045
1751978515.199,-398.094,435.491,255.051
1751978515.233,-398.114,435.484,255.037
1751978515.257,-398.104,435.494,255.025
1751978515.276,-398.099,435.472,255.031
1751978515.304,-398.096,435.502,255.056
1751978515.341,-398.117,435.479,255.019
1751978515.366,-398.110,435.484,255.075
1751978515.394,-398.102,435.483,255.057
1751978515.439,-398.140,435.454,255.040
1751978515.478,-398.085,435.491,255.032
