time,hand_label,x,y,z
1751976558.028,left,-301.052,483.821,216.279
1751976558.093,left,-304.523,455.978,240.325
1751976558.125,right,-557.246,475.750,223.208
1751976558.173,right,-557.938,461.098,222.257
1751976558.227,right,-557.725,440.635,219.725
1751976558.280,right,-555.213,434.025,224.230
1751976558.316,right,-553.376,430.064,231.546
1751976558.360,right,-553.125,428.438,232.668
1751976558.407,right,-557.480,426.146,227.792
1751976558.462,right,-555.503,418.545,241.388
1751976558.501,right,-555.790,417.192,240.481
1751976558.538,left,-335.846,441.234,233.164
1751976558.578,left,-335.789,436.190,237.539
1751976558.615,right,-556.199,438.745,262.985
1751976558.650,right,-549.314,401.817,260.683
1751976558.689,right,-545.625,401.463,263.741
1751976558.724,right,-545.811,436.114,280.287
1751976558.775,right,-538.126,405.604,264.493
1751976558.833,left,-325.440,396.455,265.542
1751976558.874,left,-313.599,427.497,267.388
1751976558.923,right,-527.861,429.366,256.829
1751976558.976,right,-519.852,414.359,236.910
1751976559.026,right,-521.525,454.302,244.041
1751976559.068,right,-518.678,461.339,236.533
1751976559.120,right,-508.774,446.328,208.605
1751976559.171,right,-513.644,480.758,210.098
1751976559.214,right,-512.081,485.116,202.775
1751976559.253,left,-297.334,416.267,229.203
1751976559.301,left,-301.615,425.225,217.499
1751976559.340,right,-509.381,486.802,193.647
1751976559.382,right,-512.894,482.300,184.926
1751976559.431,right,-513.887,481.349,172.956
1751976559.478,left,-324.644,435.452,187.534
1751976559.536,left,-345.080,431.214,185.701
1751976559.587,right,-513.164,455.746,186.841
1751976559.637,right,-500.870,421.461,174.358
1751976559.678,left,-319.880,432.232,199.829
1751976559.722,right,-526.493,452.774,196.995
1751976559.776,right,-518.671,413.043,180.866
1751976559.831,right,-500.978,373.146,210.933
1751976559.884,right,-501.869,365.738,207.452
1751976559.931,right,-498.489,356.368,210.156
1751976559.964,right,-499.105,354.988,207.244
1751976560.004,right,-498.521,353.297,210.377
1751976560.037,right,-495.401,352.883,218.449
1751976560.081,right,-495.386,354.405,218.339
1751976560.115,left,-321.356,449.208,188.567
1751976560.164,left,-321.368,443.939,192.958
1751976560.224,right,-495.730,384.227,205.154
1751976560.277,left,-349.124,475.854,187.464
1751976560.309,right,-494.366,423.485,183.278
1751976560.376,right,-496.146,437.418,172.234
1751976560.422,left,-346.496,438.794,187.150
1751976560.464,right,-493.212,469.663,166.917
1751976560.514,left,-350.263,393.450,223.486
1751976560.563,left,-335.138,439.538,203.212
1751976560.599,left,-344.527,384.836,218.130
1751976560.652,left,-333.747,432.232,200.741
1751976560.695,left,-333.790,421.058,204.556
1751976560.732,left,-340.121,382.076,214.348
1751976560.776,left,-338.574,375.728,217.824
1751976560.821,left,-339.769,371.840,230.129
1751976560.858,left,-339.754,373.343,230.020
1751976560.906,left,-335.622,409.528,198.358
1751976560.954,left,-337.264,408.316,195.427
1751976560.993,left,-338.632,412.433,200.134
1751976561.025,left,-337.024,418.607,199.698
1751976561.081,left,-345.715,380.994,228.426
1751976561.117,left,-348.477,385.103,233.124
1751976561.149,left,-351.434,388.124,232.887
1751976561.203,left,-353.396,399.927,218.988
1751976561.236,right,-536.006,450.314,183.074
1751976561.281,right,-543.160,458.957,197.442
1751976561.330,left,-365.466,445.967,181.495
1751976561.379,right,-517.876,452.667,187.033
1751976561.420,right,-513.155,428.382,182.802
1751976561.463,right,-496.818,393.908,182.390
1751976561.511,right,-490.908,385.639,206.086
1751976561.559,left,-370.047,440.868,184.841
1751976561.604,left,-370.332,443.151,179.661
1751976561.652,right,-489.525,362.648,231.819
1751976561.703,right,-489.915,362.771,229.802
1751976561.735,right,-487.047,363.817,236.764
1751976561.776,left,-354.479,431.305,185.633
1751976561.817,left,-351.523,422.106,184.312
1751976561.863,right,-490.130,385.962,202.058
1751976561.903,right,-490.231,391.390,192.641
1751976561.945,left,-345.244,397.792,193.127
1751976561.981,right,-494.105,425.911,176.086
1751976562.024,right,-490.317,438.617,186.222
1751976562.079,left,-368.782,431.632,207.574
1751976562.134,right,-516.114,438.793,175.012
