time,x,y,z
1751976377.418,-398.101,435.478,255.025
1751976377.468,-398.126,435.475,255.042
1751976377.514,-398.114,435.469,255.016
1751976377.554,-398.117,435.486,255.048
1751976377.603,-398.145,435.470,255.032
1751976377.653,-398.121,435.478,255.039
1751976377.698,-398.114,435.468,255.042
1751976377.738,-398.114,435.479,255.055
1751976377.788,-398.101,435.494,255.028
1751976377.839,-398.092,435.485,255.033
1751976377.895,-398.104,435.488,255.011
1751976377.949,-398.142,435.470,255.022
1751976377.987,-398.113,435.473,255.029
1751976378.024,-398.130,435.470,255.055
1751976378.069,-398.112,435.489,255.025
1751976378.106,-398.127,435.475,255.015
1751976378.139,-398.105,435.466,255.028
1751976378.182,-398.133,435.475,255.059
1751976378.232,-398.119,435.484,255.023
1751976378.278,-398.119,435.463,255.045
1751976378.322,-398.111,435.466,255.022
1751976378.362,-398.093,435.494,255.003
1751976378.397,-398.085,435.487,255.027
1751976378.429,-398.105,435.494,255.023
1751976378.470,-398.074,435.486,255.022
1751976378.502,-398.109,435.483,255.040
1751976378.540,-398.094,435.484,255.039
1751976378.597,-398.113,435.484,255.036
1751976378.650,-398.122,435.480,255.016
1751976378.694,-398.093,435.488,255.043
1751976378.736,-398.116,435.484,255.037
1751976378.774,-398.113,435.468,255.043
1751976378.835,-398.108,435.495,255.018
1751976378.896,-398.135,435.485,255.051
1751976378.953,-398.126,435.469,255.031
1751976379.009,-398.116,435.489,255.029
1751976379.043,-398.132,435.471,255.023
1751976379.096,-398.126,435.470,255.037
1751976379.140,-398.113,435.490,255.023
1751976379.181,-398.110,435.484,255.021
1751976379.236,-398.108,435.477,255.032
1751976379.279,-398.111,435.500,255.033
1751976379.329,-398.107,435.478,255.042
1751976379.382,-398.102,435.483,255.048
1751976379.449,-398.103,435.495,255.034
1751976379.501,-398.094,435.493,255.018
1751976379.543,-398.115,435.472,255.030
1751976379.593,-398.112,435.472,255.033
1751976379.630,-398.112,435.495,255.026
1751976379.673,-398.129,435.464,255.041
1751976379.720,-398.121,435.475,255.026
1751976379.769,-398.134,435.464,255.028
1751976379.826,-398.091,435.488,255.029
1751976379.885,-398.123,435.472,255.027
1751976379.929,-398.100,435.495,255.039
1751976379.975,-398.100,435.495,255.046
1751976380.020,-398.123,435.485,255.032
1751976380.076,-398.126,435.486,255.032
1751976380.113,-398.121,435.484,255.023
1751976380.162,-398.107,435.490,255.051
1751976380.201,-398.107,435.489,255.021
1751976380.237,-398.128,435.470,255.022
1751976380.267,-398.111,435.479,255.052
1751976380.310,-398.147,435.467,255.051
1751976380.355,-398.139,435.466,255.057
1751976380.403,-398.111,435.496,255.035
1751976380.453,-398.132,435.470,255.029
1751976380.497,-398.125,435.480,255.048
1751976380.539,-398.093,435.487,255.030
1751976380.590,-398.132,435.485,255.008
1751976380.627,-398.127,435.475,255.046
1751976380.664,-398.143,435.471,255.049
1751976380.703,-398.114,435.474,255.025
1751976380.742,-398.124,435.470,255.047
1751976380.795,-398.134,435.469,255.011
1751976380.850,-398.146,435.481,255.047
1751976380.899,-398.096,435.493,255.041
1751976380.942,-398.105,435.495,255.056
1751976381.002,-398.130,435.485,255.037
1751976381.063,-398.128,435.480,255.021
1751976381.110,-398.097,435.492,255.050
1751976381.161,-398.106,435.473,255.041
1751976381.206,-398.095,435.487,255.041
1751976381.254,-398.103,435.471,255.023
1751976381.294,-398.098,435.486,255.036
1751976381.339,-398.097,435.488,255.037
1751976381.397,-398.100,435.483,255.031
1751976381.451,-398.125,435.470,255.020
1751976381.495,-398.132,435.459,255.037
1751976381.528,-398.112,435.478,255.019
1751976381.569,-398.110,435.473,255.033
1751976381.606,-398.110,435.479,255.061
1751976381.645,-398.121,435.474,255.052
1751976381.691,-398.098,435.487,255.035
1751976381.738,-398.128,435.475,255.023
1751976381.774,-398.123,435.478,255.022
1751976381.825,-398.103,435.479,255.043
1751976381.864,-398.085,435.502,255.011
1751976381.914,-398.095,435.481,255.021
1751976381.961,-398.114,435.473,255.009
1751976382.013,-398.122,435.484,255.036
1751976382.076,-398.147,435.462,255.026
1751976382.128,-398.122,435.481,255.023
1751976382.166,-398.093,435.493,255.040
1751976382.205,-398.092,435.487,255.021
1751976382.254,-398.113,435.484,255.024
1751976382.299,-398.095,435.498,255.019
1751976382.342,-398.097,435.488,255.026
1751976382.387,-398.119,435.489,255.060
1751976382.433,-398.123,435.479,255.038
1751976382.473,-398.093,435.492,255.028
1751976382.515,-398.110,435.489,255.050
1751976382.571,-398.129,435.485,255.041
1751976382.624,-398.116,435.485,255.030
1751976382.661,-398.131,435.470,255.021
1751976382.706,-398.127,435.484,255.033
1751976382.772,-398.116,435.488,255.042
1751976382.822,-398.121,435.480,255.033
1751976382.867,-398.134,435.470,255.041
1751976382.919,-398.128,435.475,255.049
1751976382.974,-398.112,435.494,255.037
1751976383.025,-398.147,435.476,255.036
1751976383.059,-398.088,435.492,255.027
