time,hand_label,x,y,z
1751978522.310,left,-207.894,459.353,326.939
1751978522.360,left,-218.908,411.952,305.224
1751978522.411,left,-226.397,502.844,286.580
1751978522.445,left,-252.786,477.675,303.264
1751978522.479,left,-258.104,474.220,300.471
1751978522.531,left,-258.814,460.089,288.453
1751978522.594,left,-254.005,442.392,277.731
1751978522.655,left,-250.761,427.903,270.777
1751978522.699,left,-251.106,421.651,275.237
1751978522.745,left,-239.718,442.376,258.776
1751978522.795,left,-242.093,439.109,251.978
1751978522.842,left,-243.801,437.219,255.111
1751978522.899,left,-260.735,412.638,268.807
1751978522.959,left,-251.470,437.844,261.031
1751978522.990,left,-252.897,439.303,260.917
1751978523.022,left,-255.739,443.664,260.583
1751978523.076,left,-268.182,424.525,275.921
1751978523.124,left,-267.035,459.312,285.447
1751978523.161,left,-267.889,488.124,305.419
1751978523.534,left,-460.979,460.265,391.392
1751978523.583,right,-490.458,429.428,373.373
1751978523.624,right,-493.636,417.450,361.183
1751978523.655,right,-492.265,409.239,345.743
1751978523.693,right,-489.141,399.790,337.423
1751978523.732,right,-487.604,399.017,332.475
1751978523.762,right,-484.950,398.991,332.494
1751978523.793,right,-484.075,396.543,330.672
1751978523.845,right,-481.860,394.069,328.860
1751978523.874,right,-481.900,390.062,329.149
1751978523.914,right,-481.203,389.018,326.221
1751978523.957,right,-480.607,386.043,329.447
1751978523.994,right,-472.381,357.652,313.504
1751978524.053,right,-473.704,359.955,320.348
1751978524.108,right,-483.292,389.470,335.198
1751978524.169,right,-487.356,399.577,327.423
1751978524.225,right,-468.969,387.466,313.379
1751978524.271,right,-463.796,407.741,323.980
1751978524.309,right,-453.569,396.637,314.822
1751978524.344,right,-446.044,423.534,323.958
1751978524.378,right,-442.920,451.480,322.963
1751978524.427,right,-464.034,418.974,299.104
1751978524.472,right,-460.999,432.413,291.135
1751978524.516,right,-472.262,421.965,276.777
1751978524.557,right,-467.149,421.935,265.783
1751978524.606,right,-474.992,413.359,278.383
1751978524.644,right,-455.554,487.554,283.178
1751978524.694,left,-302.917,471.645,242.212
1751978524.748,left,-302.804,467.297,225.482
1751978524.806,left,-301.751,461.092,261.029
1751978524.857,left,-301.664,461.052,253.011
1751978524.902,left,-299.926,463.228,231.810
1751978524.934,left,-298.597,458.874,240.155
1751978524.979,left,-296.206,453.909,269.605
1751978525.027,left,-293.729,449.757,285.963
1751978525.082,left,-293.751,449.589,286.978
1751978525.142,left,-293.715,451.159,285.862
1751978525.190,left,-293.698,448.689,284.035
1751978525.226,left,-292.358,446.940,286.175
1751978525.257,left,-292.217,445.270,279.278
1751978525.287,left,-293.741,444.475,284.339
1751978525.320,left,-293.839,445.062,289.309
1751978525.359,left,-281.951,469.959,273.552
1751978525.403,right,-477.352,376.533,262.980
1751978525.440,right,-478.635,373.578,264.187
1751978525.484,right,-498.793,425.378,284.378
1751978525.530,right,-499.259,422.840,282.553
1751978525.592,right,-499.577,420.773,287.713
1751978525.652,right,-498.836,421.163,284.682
1751978525.702,right,-498.836,421.163,284.682
