time,hand_label,x,y,z
1751975720.307,right,-493.897,535.307,329.610
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.307,right,-496.823,506.351,331.682
1751975720.395,right,-543.026,548.238,326.350
1751975720.395,right,-523.545,518.978,323.577
1751975720.395,right,-519.087,486.149,323.972
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.395,right,-521.761,456.258,322.103
1751975720.429,right,-550.361,534.342,325.301
1751975720.429,right,-529.025,504.290,319.589
1751975720.429,right,-524.793,472.759,318.886
1751975720.429,right,-524.846,441.723,322.129
1751975720.429,right,-524.846,441.723,322.129
1751975720.429,right,-524.846,441.723,322.129
1751975720.429,right,-524.846,441.723,322.129
1751975720.429,right,-524.846,441.723,322.129
1751975720.429,right,-524.846,441.723,322.129
