time,x,y,z
1751978057.776,-398.106,435.484,255.051
1751978057.868,-398.107,435.488,255.072
1751978057.913,-398.127,435.470,255.043
1751978057.959,-398.091,435.497,255.023
1751978058.026,-398.108,435.484,255.045
1751978058.076,-398.094,435.491,255.027
1751978058.118,-398.086,435.491,255.034
1751978058.165,-398.123,435.469,255.059
1751978058.203,-398.108,435.483,255.013
1751978058.240,-398.095,435.493,255.018
1751978058.287,-398.128,435.474,255.031
1751978058.332,-398.119,435.469,255.029
1751978058.376,-398.085,435.490,255.033
1751978058.415,-398.103,435.478,255.020
1751978058.453,-398.106,435.474,255.036
1751978058.495,-398.110,435.484,255.016
1751978058.540,-398.105,435.482,255.011
1751978058.584,-398.087,435.487,255.041
1751978058.636,-398.125,435.469,255.045
1751978058.683,-398.107,435.478,255.038
1751978058.737,-398.099,435.467,255.040
1751978058.790,-398.109,435.489,255.027
1751978058.842,-398.114,435.477,255.027
1751978058.882,-398.109,435.477,255.010
1751978058.931,-398.098,435.494,255.026
1751978058.977,-398.116,435.473,255.008
1751978059.021,-398.118,435.467,255.038
1751978059.058,-398.117,435.488,255.054
1751978059.099,-398.096,435.494,255.040
1751978059.134,-398.126,435.480,255.036
1751978059.182,-398.119,435.473,255.035
1751978059.233,-398.088,435.497,255.029
1751978059.278,-398.119,435.489,255.034
1751978059.329,-398.115,435.475,255.032
1751978059.391,-398.118,435.490,255.042
1751978059.438,-398.098,435.488,255.043
1751978059.473,-398.083,435.495,255.060
1751978059.513,-398.093,435.486,255.012
1751978059.565,-398.093,435.487,255.030
1751978059.609,-398.105,435.493,255.067
1751978059.645,-398.115,435.489,255.067
1751978059.692,-398.118,435.479,255.038
1751978059.739,-398.123,435.464,255.047
1751978059.781,-398.095,435.493,255.028
1751978059.833,-398.109,435.495,255.021
1751978059.878,-398.106,435.492,255.052
1751978059.920,-398.123,435.459,255.033
1751978059.964,-398.114,435.484,255.053
1751978060.022,-398.122,435.484,255.049
1751978060.071,-398.121,435.479,255.047
1751978060.112,-398.120,435.489,255.057
1751978060.160,-398.119,435.484,255.062
1751978060.217,-398.124,435.464,255.036
1751978060.263,-398.124,435.468,255.058
1751978060.293,-398.115,435.478,255.053
1751978060.338,-398.143,435.465,255.040
1751978060.383,-398.115,435.469,255.059
1751978060.432,-398.108,435.481,255.037
1751978060.494,-398.121,435.480,255.047
1751978060.547,-398.092,435.488,255.016
1751978060.582,-398.102,435.495,255.048
1751978060.627,-398.146,435.465,255.031
1751978060.682,-398.089,435.491,255.025
1751978060.742,-398.111,435.479,255.072
1751978060.781,-398.094,435.481,255.048
1751978060.817,-398.104,435.473,255.037
1751978060.854,-398.130,435.469,255.059
1751978060.898,-398.114,435.469,255.026
1751978060.953,-398.116,435.470,255.041
1751978060.994,-398.094,435.491,255.051
1751978061.027,-398.103,435.472,255.044
1751978061.073,-398.123,435.469,255.064
1751978061.104,-398.145,435.465,255.034
