time,hand_label,x,y,z
1751976370.055,right,-519.551,518.975,280.491
1751976370.117,right,-537.559,509.111,282.088
1751976370.153,right,-538.755,490.051,274.433
1751976370.195,right,-536.876,483.969,276.890
1751976370.246,right,-535.645,482.348,270.999
1751976370.292,right,-533.365,478.460,269.290
1751976370.337,left,-269.661,502.584,258.242
1751976370.382,left,-281.757,465.563,266.853
1751976370.428,left,-264.819,482.253,245.705
1751976370.473,left,-263.740,471.056,251.534
1751976370.523,left,-256.872,455.745,256.695
1751976370.571,left,-255.469,451.382,257.020
1751976370.627,left,-252.731,442.502,258.681
1751976370.675,left,-251.215,442.642,257.678
1751976370.717,left,-266.510,423.765,270.973
1751976370.775,right,-511.122,486.990,253.780
1751976370.829,right,-515.824,474.191,253.670
1751976370.880,right,-512.654,443.834,225.805
1751976370.926,left,-288.812,459.525,261.227
1751976370.964,left,-291.331,466.218,247.693
1751976371.016,left,-298.173,476.809,221.818
1751976371.065,left,-302.541,480.430,210.499
1751976371.122,right,-539.216,430.524,289.758
1751976371.161,right,-542.059,424.971,290.140
1751976371.207,right,-544.588,421.340,286.375
1751976371.248,right,-546.016,418.550,286.567
1751976371.303,right,-545.149,420.205,284.448
1751976371.360,right,-525.615,369.718,284.211
1751976371.410,right,-541.051,435.770,282.348
1751976371.444,left,-287.334,433.707,252.072
1751976371.483,left,-272.687,449.297,253.047
1751976371.514,left,-271.339,443.303,254.491
1751976371.552,left,-270.253,435.136,261.104
1751976371.594,left,-269.005,430.363,264.465
1751976371.648,left,-282.615,404.647,278.264
1751976371.696,right,-503.094,458.731,233.815
1751976371.749,right,-503.894,463.582,222.431
1751976371.796,left,-281.129,393.778,274.046
1751976371.839,right,-521.866,471.186,246.830
1751976371.881,left,-286.794,406.339,276.110
1751976371.933,left,-289.213,415.092,262.427
1751976371.966,left,-294.933,427.594,265.498
1751976372.017,right,-539.417,420.015,263.444
1751976372.066,right,-542.644,411.525,263.034
1751976372.102,right,-550.845,427.324,262.842
1751976372.143,right,-551.768,417.627,260.528
1751976372.187,right,-554.674,409.557,256.079
1751976372.238,right,-555.121,398.980,260.850
1751976372.283,right,-553.548,384.414,262.915
1751976372.330,right,-553.868,380.164,262.217
1751976372.385,right,-553.897,377.272,262.426
1751976372.430,right,-550.737,377.163,263.457
1751976372.463,right,-550.707,380.053,263.248
1751976372.493,right,-547.853,385.365,267.897
1751976372.529,right,-547.690,393.026,262.331
1751976372.564,left,-296.966,486.754,246.173
1751976372.619,right,-537.812,423.525,269.217
1751976372.668,right,-535.838,438.400,264.145
1751976372.729,left,-286.140,442.047,263.509
1751976372.783,right,-527.024,442.311,246.876
1751976372.830,left,-275.048,410.025,267.899
1751976372.894,left,-270.784,401.475,267.542
1751976372.949,left,-268.338,389.370,274.448
1751976372.992,left,-282.499,365.906,266.023
1751976373.042,left,-282.618,364.263,269.149
1751976373.097,left,-281.333,359.747,272.491
1751976373.156,left,-281.406,359.626,274.505
1751976373.212,left,-282.904,359.517,276.508
1751976373.247,left,-268.418,376.598,274.367
1751976373.287,left,-269.860,375.182,274.460
1751976373.340,left,-269.810,375.261,273.452
1751976373.393,left,-258.595,408.437,280.153
1751976373.434,left,-258.736,406.787,282.276
1751976373.491,left,-284.067,360.019,268.443
1751976373.537,left,-284.122,364.145,271.153
1751976373.584,left,-288.674,377.395,284.203
1751976373.630,left,-288.630,387.100,285.508
1751976373.676,left,-289.923,398.392,284.684
1751976373.719,left,-296.696,421.287,280.981
1751976373.767,right,-546.626,473.444,235.476
1751976373.802,left,-304.494,462.482,244.869
1751976373.835,right,-557.038,466.800,256.943
1751976373.882,right,-557.192,454.408,262.850
1751976373.917,right,-560.448,444.539,262.538
1751976373.956,right,-563.423,434.501,263.244
1751976374.009,right,-566.631,426.798,267.790
1751976374.059,right,-568.796,412.742,266.785
1751976374.113,right,-569.115,405.127,271.344
1751976374.166,right,-572.326,399.550,270.723
1751976374.202,right,-574.676,389.378,273.447
1751976374.249,right,-574.098,386.340,275.676
1751976374.295,right,-571.786,384.631,278.822
1751976374.347,right,-572.942,380.305,280.130
1751976374.402,right,-574.705,376.150,279.415
1751976374.450,right,-571.467,375.652,285.488
1751976374.487,right,-571.757,377.142,284.376
1751976374.527,right,-572.349,378.720,282.253
1751976374.568,right,-571.092,382.604,285.991
1751976374.626,right,-571.267,395.367,284.066
1751976374.676,right,-570.744,404.546,289.422
1751976374.731,right,-564.571,421.862,294.228
1751976374.782,right,-563.834,434.730,281.272
1751976374.828,right,-557.650,456.163,285.780
1751976374.888,right,-553.062,467.120,286.022
1751976374.937,right,-550.765,428.002,257.780
1751976374.993,left,-307.214,466.454,204.459
1751976375.040,right,-543.226,487.095,268.602
1751976375.077,left,-290.604,443.858,270.367
1751976375.114,left,-306.639,412.101,276.566
1751976375.156,left,-286.482,422.662,269.920
1751976375.202,left,-301.299,391.154,288.140
1751976375.247,left,-282.296,395.936,266.864
1751976375.292,left,-280.865,391.700,266.177
1751976375.344,left,-295.672,368.139,276.805
1751976375.382,left,-279.667,382.689,270.846
1751976375.415,left,-279.543,380.156,267.019
1751976375.458,left,-294.435,357.902,281.563
1751976375.503,left,-295.867,356.496,281.655
1751976375.557,left,-282.576,378.412,271.135
1751976375.601,left,-297.194,356.799,276.611
1751976375.639,left,-298.606,358.241,276.498
1751976375.695,left,-283.913,381.467,268.901
1751976375.737,left,-300.092,362.088,283.229
1751976375.772,left,-302.722,369.998,271.611
1751976375.813,left,-302.669,378.358,274.016
1751976375.872,left,-303.969,387.321,269.350
1751976375.926,right,-540.433,510.820,243.846
1751976375.966,left,-312.202,426.112,234.411
1751976376.003,right,-550.541,483.940,241.711
1751976376.036,right,-552.962,447.184,263.399
1751976376.086,right,-554.206,438.428,265.026
1751976376.124,right,-562.271,428.005,247.679
1751976376.180,right,-556.500,411.670,274.964
1751976376.228,right,-558.267,424.140,287.086
1751976376.274,right,-557.482,415.354,290.734
1751976376.309,right,-554.226,399.223,298.938
1751976376.344,right,-554.860,393.896,297.314
1751976376.381,right,-554.916,388.349,297.714
1751976376.429,right,-553.213,385.013,303.982
1751976376.483,right,-551.866,382.246,304.190
1751976376.543,right,-551.459,371.449,301.965
1751976376.607,right,-548.770,364.514,302.483
1751976376.647,right,-546.576,361.540,305.720
1751976376.700,right,-546.317,361.789,301.693
1751976376.744,right,-544.395,360.264,303.821
1751976376.786,right,-542.176,361.434,306.759
1751976376.820,right,-539.953,363.965,309.599
1751976376.860,right,-538.829,366.764,308.401
1751976376.909,right,-537.958,371.021,306.094
1751976376.957,right,-538.131,380.736,304.389
1751976377.003,right,-539.966,389.208,301.760
1751976377.057,right,-532.637,410.487,306.287
1751976377.108,right,-529.541,419.916,306.629
1751976377.156,left,-271.919,490.265,242.073
1751976377.196,right,-512.093,424.270,293.394
1751976377.240,left,-273.611,464.006,242.955
1751976377.278,left,-273.327,437.943,231.805
1751976377.327,left,-271.943,427.481,232.570
1751976377.373,left,-271.734,413.492,225.560
1751976377.418,left,-270.491,392.302,228.101
1751976377.468,left,-258.725,413.800,234.647
1751976377.514,left,-258.562,406.786,231.144
1751976377.554,left,-257.372,394.501,235.047
1751976377.603,left,-258.908,390.037,235.359
1751976377.653,left,-262.243,388.031,241.498
1751976377.698,left,-265.416,387.697,245.511
1751976377.738,left,-267.147,387.259,250.545
1751976377.788,left,-271.978,385.033,259.698
1751976377.839,left,-274.865,386.514,259.572
1751976377.895,left,-278.096,388.602,268.424
1751976377.949,left,-279.541,391.394,269.215
1751976377.987,left,-283.894,402.374,273.407
1751976378.024,left,-286.644,409.661,271.860
1751976378.069,left,-288.042,415.268,272.449
1751976378.106,left,-303.830,396.451,263.678
1751976378.139,left,-321.307,382.345,262.577
1751976378.182,right,-501.890,451.070,226.355
1751976378.232,left,-329.836,396.908,261.470
1751976378.278,left,-334.318,405.189,251.819
1751976378.322,left,-345.124,415.945,271.024
1751976378.362,left,-350.512,416.535,277.965
1751976378.397,left,-354.502,417.346,282.893
1751976378.429,left,-359.441,412.939,296.213
1751976378.470,right,-427.717,445.080,336.559
1751976378.502,left,-358.917,459.458,339.981
1751976378.540,left,-360.060,457.588,343.116
1751976378.597,right,-386.462,403.437,320.786
1751976378.650,right,-388.361,435.043,323.504
1751976378.694,right,-387.457,428.927,319.941
1751976378.736,right,-385.059,426.646,317.114
1751976378.774,right,-385.290,421.518,315.477
1751976378.835,right,-386.699,416.109,315.859
1751976378.896,right,-388.686,412.385,324.136
1751976378.953,left,-344.000,378.259,312.855
1751976379.009,right,-392.001,403.410,332.783
1751976379.043,left,-354.467,381.393,293.511
1751976379.096,right,-391.835,409.926,333.316
1751976379.140,right,-390.179,413.495,336.077
1751976379.181,right,-388.154,397.037,318.229
1751976379.236,right,-392.480,405.348,327.627
1751976379.279,right,-392.071,401.022,318.918
