time,x,y,z
1751976558.028,-398.121,435.479,255.064
1751976558.093,-398.113,435.480,255.001
1751976558.125,-398.096,435.482,255.019
1751976558.173,-398.113,435.480,255.033
1751976558.227,-398.105,435.494,255.028
1751976558.280,-398.110,435.489,255.024
1751976558.316,-398.117,435.485,255.072
1751976558.360,-398.120,435.468,255.024
1751976558.407,-398.129,435.480,255.050
1751976558.462,-398.124,435.479,255.058
1751976558.501,-398.119,435.469,255.073
1751976558.538,-398.118,435.480,255.063
1751976558.578,-398.116,435.484,255.052
1751976558.615,-398.092,435.498,255.019
1751976558.650,-398.102,435.493,255.045
1751976558.689,-398.135,435.465,255.063
1751976558.724,-398.110,435.489,255.032
1751976558.775,-398.105,435.472,255.015
1751976558.833,-398.112,435.479,255.077
1751976558.874,-398.108,435.488,255.049
1751976558.923,-398.133,435.465,255.054
1751976558.976,-398.106,435.489,255.063
1751976559.026,-398.119,435.484,255.039
1751976559.068,-398.127,435.485,255.050
1751976559.120,-398.138,435.469,255.061
1751976559.171,-398.106,435.484,255.025
1751976559.214,-398.133,435.470,255.006
1751976559.253,-398.100,435.493,255.065
1751976559.301,-398.123,435.479,255.021
1751976559.340,-398.113,435.473,255.058
1751976559.382,-398.092,435.493,255.059
1751976559.431,-398.095,435.481,255.049
1751976559.478,-398.114,435.468,255.048
1751976559.536,-398.086,435.496,255.039
1751976559.587,-398.093,435.492,255.022
1751976559.637,-398.106,435.493,255.027
1751976559.678,-398.113,435.480,255.032
1751976559.722,-398.093,435.476,255.018
1751976559.776,-398.095,435.472,255.022
1751976559.831,-398.092,435.499,255.060
1751976559.884,-398.126,435.468,255.013
1751976559.931,-398.115,435.495,255.035
1751976559.964,-398.129,435.475,255.043
1751976560.004,-398.108,435.477,255.044
1751976560.037,-398.137,435.476,255.050
1751976560.081,-398.108,435.480,255.052
1751976560.115,-398.107,435.488,255.033
1751976560.164,-398.118,435.473,255.049
1751976560.224,-398.123,435.468,255.039
1751976560.277,-398.134,435.464,255.029
1751976560.309,-398.098,435.498,255.043
1751976560.376,-398.096,435.477,255.028
1751976560.422,-398.104,435.483,255.026
1751976560.464,-398.085,435.487,255.015
1751976560.514,-398.103,435.472,255.030
1751976560.563,-398.112,435.469,255.010
1751976560.599,-398.149,435.460,255.033
1751976560.652,-398.101,435.493,255.046
1751976560.695,-398.126,435.459,255.065
1751976560.732,-398.121,435.479,255.024
1751976560.776,-398.109,435.479,255.039
1751976560.821,-398.114,435.463,255.058
1751976560.858,-398.109,435.484,255.003
1751976560.906,-398.116,435.464,255.050
1751976560.954,-398.115,435.479,255.040
1751976560.993,-398.093,435.475,255.010
1751976561.025,-398.103,435.488,255.058
1751976561.081,-398.107,435.493,255.061
1751976561.117,-398.106,435.482,255.015
1751976561.149,-398.123,435.495,255.048
1751976561.203,-398.100,435.493,255.055
1751976561.236,-398.096,435.487,255.033
1751976561.281,-398.132,435.470,255.032
1751976561.330,-398.122,435.468,255.042
1751976561.379,-398.092,435.502,255.041
1751976561.420,-398.135,435.459,255.054
1751976561.463,-398.082,435.491,255.047
1751976561.511,-398.074,435.491,255.005
1751976561.559,-398.116,435.467,255.055
1751976561.604,-398.090,435.493,255.060
1751976561.652,-398.106,435.483,255.027
1751976561.703,-398.097,435.481,255.040
1751976561.735,-398.125,435.479,255.052
1751976561.776,-398.100,435.493,255.048
1751976561.817,-398.126,435.458,255.034
1751976561.863,-398.135,435.470,255.063
1751976561.903,-398.128,435.464,255.047
1751976561.945,-398.077,435.502,255.045
1751976561.981,-398.102,435.488,255.040
1751976562.024,-398.104,435.478,255.054
1751976562.079,-398.142,435.470,255.055
1751976562.134,-398.146,435.465,255.040
1751976562.177,-398.129,435.476,255.042
1751976562.229,-398.096,435.487,255.026
1751976562.290,-398.114,435.488,255.040
1751976562.339,-398.101,435.493,255.066
1751976562.386,-398.123,435.480,255.021
1751976562.430,-398.119,435.479,255.034
1751976562.478,-398.145,435.469,255.060
1751976562.530,-398.079,435.497,255.039
1751976562.577,-398.105,435.478,255.038
1751976562.616,-398.123,435.473,255.015
1751976562.657,-398.102,435.493,255.045
1751976562.699,-398.138,435.476,255.048
1751976562.738,-398.103,435.482,255.021
1751976562.780,-398.127,435.469,255.008
1751976562.824,-398.112,435.477,255.044
1751976562.858,-398.111,435.478,255.036
1751976562.911,-398.083,435.475,255.030
1751976562.964,-398.099,435.492,255.026
1751976563.004,-398.112,435.473,255.025
1751976563.041,-398.132,435.470,255.062
1751976563.082,-398.100,435.492,255.047
1751976563.135,-398.122,435.479,255.061
1751976563.190,-398.106,435.499,255.027
1751976563.243,-398.109,435.483,255.054
1751976563.295,-398.100,435.479,255.016
1751976563.335,-398.106,435.477,255.030
1751976563.373,-398.123,435.475,255.058
1751976563.413,-398.122,435.469,255.015
1751976563.455,-398.129,435.470,255.012
1751976563.508,-398.060,435.495,255.014
1751976563.546,-398.092,435.487,255.043
1751976563.610,-398.111,435.485,255.026
1751976563.658,-398.098,435.482,255.020
1751976563.715,-398.079,435.503,255.043
1751976563.773,-398.095,435.493,255.031
1751976563.820,-398.126,435.480,255.045
1751976563.880,-398.121,435.469,255.031
1751976563.926,-398.137,435.465,255.018
1751976563.960,-398.100,435.488,255.036
1751976564.003,-398.134,435.470,255.029
1751976564.054,-398.103,435.484,255.032
1751976564.110,-398.129,435.476,255.035
1751976564.154,-398.128,435.469,255.029
1751976564.200,-398.109,435.474,255.029
1751976564.256,-398.097,435.494,255.044
1751976564.305,-398.110,435.462,255.033
1751976564.339,-398.088,435.495,255.022
1751976564.373,-398.086,435.492,255.043
1751976564.428,-398.135,435.470,255.039
1751976564.467,-398.104,435.487,255.053
1751976564.510,-398.097,435.503,255.045
1751976564.556,-398.099,435.494,255.041
1751976564.588,-398.101,435.487,255.006
1751976564.625,-398.122,435.464,255.029
1751976564.668,-398.106,435.488,255.038
1751976564.709,-398.129,435.470,255.035
1751976564.770,-398.109,435.478,255.040
1751976564.819,-398.103,435.478,255.061
1751976564.874,-398.090,435.497,255.006
1751976564.927,-398.131,435.479,255.053
